Código;VR respuesta rápida – Solucionada (?5 min);VR respuesta rápida – Revisión profunda / OT CAPITALBUS;Observación estándar – Reporte CAPITALBUS
NVD-001;"[VR-OK] NVD-001 – NVR no enciende
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-001 – NVR no enciende
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Fusible, DC-DC, cable suelto, batería baja.
Evidencia mínima a adjuntar: Foto LEDs + medición VDC + foto conexiones.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-001. Novedad: NVR no enciende. Equipo: NVR . Síntoma reportado: Sin LEDs; no boot; no responde. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-002;"[VR-OK] NVD-002 – NVR reinicia solo
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-002 – NVR reinicia solo
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Microcortes, falso contacto, DC-DC, sobretemp, HDD.
Evidencia mínima a adjuntar: Hora exacta + captura eventos + foto instalación.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-002. Novedad: NVR reinicia solo. Equipo: NVR. Síntoma reportado: Reinicios aleatorios; se cae en ruta. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-003;"[VR-OK] NVD-003 – NVR enciende pero no inicia (boot loop)
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-003 – NVR enciende pero no inicia (boot loop)
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Firmware corrupto, disco en corto, alimentación.
Evidencia mínima a adjuntar: Video del ciclo + log si existe.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-003. Novedad: NVR enciende pero no inicia (boot loop). Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Logo aparece y reinicia; no entra a menú. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-004;"[VR-OK] NVD-004 – Fuente DC-DC sin salida / fluctuante
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-004 – Fuente DC-DC sin salida / fluctuante
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): DC-DC dañada, conexión masa, alternador.
Evidencia mínima a adjuntar: Tabla mediciones + foto punto masa.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-004. Novedad: Fuente DC-DC sin salida / fluctuante. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Voltaje cae al acelerar/arrancar. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-005;"[VR-OK] NVD-005 – Switch/PoE sin energía
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-005 – Switch/PoE sin energía
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Alimentación, fusible, daño switch.
Evidencia mínima a adjuntar: Foto LEDs + medición.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-005. Novedad: Switch/PoE sin energía. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: LEDs apagados; cámaras no encienden. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-006;"[VR-OK] NVD-006 – Modulo no transmite
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-006 – Modulo no transmite
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Fusible, cableado, DC-DC.
Evidencia mínima a adjuntar: Foto LEDs + medición.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-006. Novedad: Modulo no transmite. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Router apagado; sin datos. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-007;"[VR-OK] NVD-007 – Consumo anómalo / calentamiento fuente
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-007 – Consumo anómalo / calentamiento fuente
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Sobrecarga, corto en cámara/cable.
Evidencia mínima a adjuntar: Foto + reporte de consumo.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-007. Novedad: Consumo anómalo / calentamiento fuente. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Olor a quemado; fuente caliente. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-008;"[VR-OK] NVD-008 – Protección por bajo voltaje
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-008 – Protección por bajo voltaje
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Batería débil, alternador.
Evidencia mínima a adjuntar: Mediciones + hora.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-008. Novedad: Protección por bajo voltaje. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Equipo se apaga cuando enciende bus. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-009;"[VR-OK] NVD-009 – Protección por alto voltaje
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-009 – Protección por alto voltaje
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Regulador alternador, DC-DC sin protección.
Evidencia mínima a adjuntar: Mediciones + evento.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-009. Novedad: Protección por alto voltaje. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Apagado tras picos; alarmas. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-010;"[VR-OK] NVD-010 – Falso contacto en bornera
Se valida NVR energizado/estable; sin reinicios recientes en logs.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-010 – Falso contacto en bornera
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Medir VDC entrada/salida DC-DC (reposo/arranque/aceleración); revisar fusibles, borneras, masa y cableado; verificar eventos de reinicio/sobretemp en logs.
Posibles causas (referencia): Tornillo flojo, terminal fatigado.
Evidencia mínima a adjuntar: Foto antes/después.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-010. Novedad: Falso contacto en bornera. Equipo: NVR / PoE{/CANAL opcional}. Síntoma reportado: Cae con vibración. Categoría: Energía / Encendido. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
