Código_RVR;Resultado;Categoría;Motivo;Observación estándar;Acción sugerida;Estado siguiente sugerido
RVR-CNF-01;Confirmada;Cámaras (Video/Audio);Sin señal persistente;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: cámara sin imagen (negro) en vivo y en reproducción. Stream/Canal sin señal de forma persistente.;Programar correctivo nocturno. Revisar alimentación PoE/latiguillo M12 y sustituir cámara si aplica.;Solicitar bus intervención nocturna
RVR-CNF-02;Confirmada;Cámaras (Video/Audio);Borroso persistente;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: imagen borrosa constante; enfoque no recupera tras limpieza básica. Afecta identificación.";"Programar correctivo nocturno. Revisar lente/cúpula, enfoque y montaje; cambiar cámara si persiste.";Solicitar bus intervención nocturna
RVR-CNF-03;Confirmada;Cámaras (Video/Audio);Mancha en lente;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: mancha/halo visible en imagen (día/noche). No se corrige con reinicio.;"Programar correctivo nocturno. Revisar cúpula/lente (humedad/golpe) y sellos; reemplazo si aplica.";Solicitar bus intervención nocturna
RVR-CNF-04;Confirmada;Grabación / Almacenamiento;Falla almacenamiento;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: NVR sin grabación en el rango consultado; logs indican error de almacenamiento (HDD/SD) o 'disk not found'.";"Programar correctivo nocturno. Validar estado HDD/SD, formateo y reemplazo; verificar retención.";Solicitar bus intervención nocturna
RVR-CNF-05;Confirmada;Comunicaciones / Reporte;Offline prolongado;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: bus fuera de línea en CMS > {TIEMPO_OFFLINE}; no responde a ping/telemetría. Otros buses en línea (no es CMS).";"Escalar a comunicaciones. Revisar SIM/APN, router, antenas y energía; programar visita si no se recupera.";Escalar a comunicaciones
RVR-CNF-06;Confirmada;Energía / Encendido;Microcortes energía;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: reinicios / apagado del NVR reportados en logs; correlaciona con caídas de voltaje/energía.";"Programar correctivo nocturno. Revisar DC-DC, fusibles, borneras, masa y alternador; asegurar fijación.";Solicitar bus intervención nocturna
RVR-CNF-07;Confirmada;Cableado / Red interna;Falla enlace/red;"[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: pérdida de enlace (link down) en puerto/switch o cámaras intermitentes por red interna; se observa 'port flapping' o alta pérdida de paquetes.";"Programar correctivo nocturno. Revisar conectores RJ45/M12, latiguillos, switch PoE y fijación; reemplazar cableado.";Solicitar bus intervención nocturna
RVR-CNF-08;Confirmada;Físico / Seguridad;Daño físico;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: evidencia de manipulación/daño físico (cámara desprendida, carcasa rota, cable cortado) reportada por operación/inspección.;"Programar correctivo nocturno. Asegurar montaje, sellos y protección; reposición de componentes; levantar reporte de daño.";Solicitar bus intervención nocturna
RVR-CNF-09;Confirmada;Software / Configuración;Config incorrecta;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: configuración inconsistente (canal deshabilitado, perfiles erróneos, horarios de grabación apagados) y persiste tras verificación.;"Ejecutar corrección remota si posible; si requiere acceso local, programar correctivo nocturno. Registrar backup config.";Ajuste remoto / Solicitar bus
RVR-CNF-10;Confirmada;Centro de Gestión (CMS);Incidente CMS;[RVR] Bus {BUS} | Equipo {EQUIPO}/{CANAL} | Novedad {COD_NVD} | Hora {HORA}. Se confirma: falla atribuible al CMS (múltiples buses/servicios afectados, alarmas sistémicas, servicios caídos).;"Escalar a soporte CMS/infra. Abrir incidente plataforma; no programar visita a bus hasta restablecer CMS.";Escalar a soporte CMS
